Original Review,Summarized Review
the drive thru makes them lost a star since my last reviewthis is one of those two lane drive thrus and i know that the function of that is so that the orders are not messed up when you get to the window but almost everytime the cashier ends up asking me what did i order i inquired about that before and was told that when someone drives off that messes up the orderwell i guess there is no controlling drive off and at least i know my order has been confirmed so it should be right by the time i get to the second windowthis mcdonalds also has a late night drive thru thur  sat it use to be a 24 hour on those days but i do not think it is any longer one of my biggest pet peeves is that the drive thru staff has no smile in their voice when you are ordering food from the luxury of your vehicle you want to think that the person in charge of taking your order is in good spirits but not at this location, the drive thru makes them lost a star since my last review . The drive thru staff has no smile in their voice when you are ordering food from the luxury of your vehicle .
believe it or not this used to be q really good mcdonalds the drive throuh is so slow it is frustrating but the service is always friendly food is normally luke warm my niece likes the toys from mcdonalds i wonder if i pull up to the window and say let me just get the toy woulf service be faster, The drive throuh is so slow it is frustrating but the service is always friendly . My niece likes the toys from mcdonalds. believe it or not this used to be q really good .
as the previous yelpers have already stated this place is pretty slow the food is usually cold and the serviceyeah you guessed it poor,as the previous yelpers have already stated this place is pretty slow the food is usually cold and the serviceyeah you guessed it poor
25 minutes in drive through line gunshots from the apartments behind worst mcdonalds ever,25 minutes in drive through line gunshots from the apartments behind worst mcdonalds ever
super slow service foods terrible like its been sitting and then reheated everything is out napkins iced tea,super slow service foods terrible like its been sitting and then reheated everything is out napkins iced tea
slowslowslow do not go here if you have a flight to catchor a life to live if youre hungry wait until you get to the airport this particular mcdonalds is just not worth your time,slowslowslow do not go here if you have a flight to catchor a life to live if youre hungry wait until you get to the airport this particular mcdonalds is just not worth your time
on your way to the airport or just cruising down camp creek pkwy are you absolutely in love with mcdonalds sweet tea well then do not ever go through this drive thru hands down this is the slowest mcdonalds drive thru i have experienced in atlanta considering this location is close to the airport it would be great if they could simply improve the quality of service as a lover of sweet tea i was completely turned off by this location when i overheard the drive thru operator joking about how sweet it was a few years ago she told a few of her associates that it was like syrup and liquid diabetes by the time i took my first and only sip i was on i285 headed to perimeter mall and it tasted like cold syrup thank goodness for the mcdonalds near perimeter mall because they refilled my drink so the moral to the story is if youre on camp creek pkwy near the airport bypass mcdonalds and head for chickfila eatmorechicken, This is the slowest mcdonalds drive thru i have experienced in atlanta considering this location is close to the airport . As a lover of sweet tea i was completely turned off by this location .
this is the worst mcdonalds i have ever seen the service was terrible and the employees were either lazy or incompetent i will never return to this establishment,this is the worst mcdonalds i have ever seen the service was terrible and the employees were either lazy or incompetent i will never return to this establishment
i had the mccafe mocha and must say that it was better than drinking sand and salt water that is about ittoo sweet and i could not even taste the coffee over the other weird flavors going on in this drinkstick with the starbucks mocha folks trust me on this one, i had the mccafe mocha and must say that it was better than drinking sand and salt water that is about ittoo sweet and i could not even taste the coffee over the other weird flavors going on in this drink .
ghetto went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces finally made it inside and it was about 5 customers to one cashier the shift manager made the comment that the car that was waiting needed to be pulled up because they are holding up her line now how is that when they are waiting on their orderhell i was thinking you are holding up the customer and the others waiting anyway finally placed order and was told 107 which i paid exact price here is where its sadthe cashier did not ring up the soda so therefore i did not get a receipt i know that she planned to pocket the money which is sad and bad because eventually that cost will get passed off to customers through price increases i will not return here because i do not like to feel like i am in someones hood and i hate a thief maybe i will call to tell them but then again they probably do not care or maybe even steal themselves plus i do not eat fast food anyway so no need to waste precious minutes, ghetto went in yesterday just to get a soda and could not even park in handicap parking spot because their delivery truck was blocking all spaces . The cashier did not ring up the soda so therefore i did not get a receipt so therefore
i visited mcdonalds on dec 20 2011 at 1254 i bought 3 cheese burgers 2 large fries and 2 orders of pies they charged me for 3 fries so i went back into store and told the cashier she denied i said  i ordered 2 fries then manager came over and said whats the problem i told him and he said looked into the bag grabbed the xtra fries and lterally threw them into the waste bucket by the drive tru from the cashier  then reached into cash register and gave me change for the fries then i said thank you and he said ok boss and i left i then called mcdonalds people via the nimber on the website after i ate i told then i was going to wait to yelp after i heard from mcdonalds still no call or email as a side note tom n the otther yelper is right they are very rude there and seem bothered to help you and not at all nice to the kids the play room is sticky and the video games in ther always cause an altercation with kids and parents the only reason i gave 2 stars was because the fries were hot and the sweet potatoe fries were good and warm, i visited mcdonalds on dec 20 2011 at 1254 i bought 3 cheese burgers 2 large fries and 2 orders of pies . The only reason i gave 2 stars was because the fries were hot and the sweet potatoe fries were
i usually hit the drive thru once or twice a week for breakfast a lot of times the forget to include the hash brown if i order a meal if i order hot cakes they usually forget either butter or utinsils prompting me to have to go inside the food is also very inconsistent, i usually hit the drive thru once or twice a week for breakfast . A lot of times the forget to include the hash brown if i order a meal . If i order hot cakes they usually forget either butter or utinsils .
what a jokedo not do take out as you will not get anything that you ordered we prefers and paid for items only to get home with 50 of the order accurate i have been there numerous times and sadly the same thing happens it is my fault because i should learndoes anyone know the owneri cannot believe that he would like this comment woodstock macdonalds is not the place that ray crock invented save yourself the frustration and waste if money do not go therei have learned now, Woodstock macdonalds is not the place that ray crock invented save yourself the frustration and waste if money do not go there . Do not do take out as you will not get anything that you ordered .
i wish i can give zero stars freezing cold reheated soggy fries and twice fried chewy nuggets  straight to my trash can,i wish i can give zero stars freezing cold reheated soggy fries and twice fried chewy nuggets  straight to my trash can
i agree with most reviewers on this one staff is always rude and annoyed that youre there1 i travel weekly to atlanta hartsfield airport and this mcdonalds never has fresh hot coffee at 430500 am always have to wait while they brew coffee wth,i agree with most reviewers on this one staff is always rude and annoyed that youre there1 i travel weekly to atlanta hartsfield airport and this mcdonalds never has fresh hot coffee at 430500 am always have to wait while they brew coffee wth
i do not think this location deserves even one star this is the filthiest mcdonalds i have ever visited i have been to hundreds of different mcdonalds in numerous states as well as 19 foreign countries i went to this location on 32912 for breakfast the first thing i noticed was that the floor was sticky a previous reviewer made a similar comment about the play area when i noticed this i said to myself this is not right then when i looked for a place to sit i spotted all the debris in the seat crevices and the floor there were also flies in the dining area which i had to repeatedly brush off my food as for the food it seemed ok except this was the first time ever that i was given cold syrup for my hotcakes at a mcdonalds, i do not think this location deserves even one star this is the filthiest mcdonalds i have ever visited i have been to hundreds of different locations .
this is one rude mcdonalds the food takes longer to prepare than any other macdonalds i have ever been to the people working there always seem annoyed like you are bothering them just by being there i avoid this mc ds whenever i can,this is one rude mcdonalds the food takes longer to prepare than any other macdonalds i have ever been to the people working there always seem annoyed like you are bothering them just by being there i avoid this mc ds whenever i can
the managers at this mcdonalds are awesome but some of the workers are lazy overall an average mcdonalds after visiting it and some other once i realized that this one is really average the only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till midnight and no one bothers me, The managers at this mcdonalds are awesome but some of the workers are lazy overall . The only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till
it had been a while since i had stopped at this particular one they have done a total remodel and it looks fairly fresh stopped by about 1011pm and went through drive thru i thought i would try a new mcwrap got a fry and a spicy chick along with that  i was asked to pull up after sitting at the window for a few minutes and they would bring me my order that is fine except about 15 minutes later i am still waiting so i go to check what is going on and end up waiting another 5 minutes  it appeared i was not the only one that had a long wait in drive thru as well  mcwrap  i was thisappointed looked like a wrap that had grilled chicken sprinkle with some mixed greens then had sweet and sour sauce dumped in it, i thought i would try a new mcwrap got a fry and a spicy chick along with that  i was asked to pull up after sitting at the window for a few minutes and they would bring me my order that is fine except about
thisorganized did not even get to order employees were hanging out with friends out front,thisorganized did not even get to order employees were hanging out with friends out front
this has got to be one of the busiest mcdonalds in the metro area  if not the southeast  and they are fairly efficient despite being so busy all the timeyou can come by just about any time of the day and find the line of cars for the drivethru wrapped around the buildingit is generally more efficient to go into the building and place your order than wait in the line of cars spewing smog and since the building is open 24 hours now that should make it easy to get your mcfixgood job clairmont mcdonalds, This has got to be one of the busiest mcdonalds in the metro area if not the southeast . The building is open 24 hours now .
this mcdonalds is horrible they are also down the street from my house you might just want to go to the next mcdonalds down the street less than half a mile maybe it is brand new and just opened the reviews here speak for themselves no customer service whatsoever they always rush you at drivethru and never get the meal correct because they are all ignorant fucks who cannot speak proper english or do not even know english they do not even give you time to respond on an order completion i have dined inside and it was fine however it was dirty around me on most occasions but 99 of the time i eat there my meal is always incorrect always it is ridiculous i found out it is an ongoing problem especially at this store the fries are always pre sorted and they are a hot or miss they are really good or really bad which is really annoying the sandwich is the same sometimes they put fresh dripping meat on the bun and it makes it soggy which is thisgusting most of the times the sandwich is just plain incorrect i have had to call corporate about the poor customer service i have had with employees and several managers at this location as well as the constant issue of my order being messed up which is very inconvenient in drivethru i am telling you go to the next mcdonalds the employees here hate their job and are idiots, this mcdonalds is horrible they are also down the street from my house . 99 of the time i eat there my meal is always incorrect always it is ridiculous i found out it is an ongoing problem especially at this store . The fries
nuts and bolts stopped by on my way into work to grab breakfast after getting some sams club gaspros convenient location for me right off i85 fast servicecons the sausage biscuit i had was subpar the biscuit was overcooked and hard the sausage was not cooked enough only gave me one jelly packet most places give me at least two forgot to give me a straw for my sweet tea sweet tea was not sweet enough gave me no napkins neutral when i was in line paying a woman pulled up next to me to complain to the cashier that something was wrong with her order so she jumped in front of me to get her order fixed neutral about this since i do not have detailstake home i will try them one more time if they fail again i will just pass, The sausage biscuit i had was subpar the biscuit was overcooked and hard the sausage was not cooked enough only gave me one jelly packet most places give me at least two . forgot to give me a straw for my sweet tea
the ice cream machine is always down after 11 pm if you want a hot fudge sundae do not even bother,the ice cream machine is always down after 11 pm if you want a hot fudge sundae do not even bother
regular mcdonalds close to the highway which can be good and bad,regular mcdonalds close to the highway which can be good and bad
stopped here on the way downtown this morning to get a yogurt parfait these snakes gave me dairy products that had an expired use by sticker and i did not even notice until i was halfway to downtown gross guys there is no point in putting freshness dates on your food if the employees cannot or would not read, Snakes gave me dairy products that had an expired use by sticker and i did not even notice until i was halfway to downtown . There is no point in putting freshness dates on your food if the employees cannot or would not read it
i highly recommend this mcdonaldsif and only if you are trapped at northside hospital are ravenously hungry and have absolutely no other option eating at this mcdonalds is slightly better than eating out of a vending machine or dumpster,i highly recommend this mcdonaldsif and only if you are trapped at northside hospital are ravenously hungry and have absolutely no other option eating at this mcdonalds is slightly better than eating out of a vending machine or dumpster
toxic dump in food quality and employee humanitywork efforttypically i do not eat mcdonalds food yet similar to the experience of others trapped at northside hospital there is no other option if you are hungry outside of the hospital cafeteria hours of operation due to a relatives stay and my visitsovernights for 11 weeks i too found myself trapped and therefore forced to buy at mcdonalds mostly my visits were for coffee or ice cream sundaes however last night for the first time i ordered food grilled chicken salad i returned it  the meat smelled badly this did not surprise me and only enforced my resolve to avoid chain food restaurantswhat did surprise me and absolutely shocked me was the customer service offered by employees  how in the world can you be an employee here and not for one minute or even a second acknowledge the obvious fact that you work inside a hospital then consider what that means for each and every person that approaches your counter to order how you do not see them in fact that you easily thismiss them is beyond my comprehension to understand how you lost your sense of humanity in all honestly should cause you to pause and contemplate this  are you not aware that you are reflecting how you measure within you your own sense of dignitywithin my and familyfriends of patient at northside hospital for the past 11 weeks each and every time ithey had to place an order i they waswere subjected to mcdonalds toxic business model in food which now has transferred we learned into their employees not once was i thanked for giving my order not once was i thanked when delivered my order yet at every visit i waited and witnessed employee behaviors that were readily thisplayed and relayed in body language effort toward actual work and obvious attitude not only toward me but guests in front of me god forbid i happened to have question in reference to the menu employee response blank stare shrug looking behind them at menu only to turn back around with a blank stare andor shrug again god forbid on separate occasions i happened to ask for a spoonnapkinstraw last night i happened to ask for my drink please after receiving my salad and waiting for longer than normal yikes you think i had asked him to draw bloodone more detail regardless if i arrive at 2am 4am or between 730 pm  11 pm this mcdonalds is always consistently filthy not just dirty but filthycan anyone lift a broom to sweep up the garbage in the servicecooking area also in the dining roomcan anyone clean the crud surrounding the plastic thisplay case for cookies already it is been 11 weeks and that crud is still smeared dried just grosswashthisinfect the countertops payment pads straw holders everywhere spills occur including areas customers touch every hour get it every single hour get a cleaning only employee this employee will do nothing but be the ocd employee you need just stop this atrociously dirty  thisgusting feeding trough you call a restaurant you should be ashamed_northside hospital  you are responsible for allowing this restaurant to wallow within your walls how many more years will you ignore not only the unhealthy food options mcdonalds supplies but to continue to allow a daily dose of deliberate and diligent unhealthy negative and put upon attitudes from employees to be delivered to family friends and employees that are there only because they care and are there for your patients how this does not cause you to react and act is beyond mein my world with so many options available this place would be gone  like today certainly not any longer than tomorrowthis toxic waste site is dumping daily doses of negativity inhumanity its seeping and reverberating within the walls of this hospital i know you feel it, Northside hospital is a toxic dump in food quality and employee humanity in food and employee attitudes . The hospital is responsible for allowing this restaurant to wallow within your walls how many more years will you ignore this restaurant .
i know i should not need to ask but experience has proven it is a good i idea tonight i forgot to ask them to make sure the coffee was not old and after i drove any i checked and it was not only old it was cold,i know i should not need to ask but experience has proven it is a good i idea tonight i forgot to ask them to make sure the coffee was not old and after i drove any i checked and it was not only old it was cold
i do not often eat at mcdonalds or ever in fact i do not have much expectation for healthy foods but the one thing i do expect is decent service and fast food this branch for neither food was really slow to come out and i had to ask thrice for the coffee that i ordered shocking service delivery, i do not often eat at mcdonalds or ever in fact in fact i have much expectation for healthy foods but the one thing i do expect is decent service and fast food this branch for neither food was really slow to come out .
little bit more expensive than other mickey dees beggars cannot be choosy slow service and it is packed its open 247365 and the workers are pretty nice did not have many other choices and this filled the need,little bit more expensive than other mickey dees beggars cannot be choosy slow service and it is packed its open 247365 and the workers are pretty nice did not have many other choices and this filled the need
this is the mcdonalds inside the northside hospitalfor being the only option to get something to eat evidently they do not have a proper cafeteria like most hospitals do it had to docomplete thisorganization are the only two decent words i can come up for this place there was a huge rush of people oddly enough that evening and the staff had no clue what to do orders were wrong missing items and the wait time was unbearable, this is the mcdonalds inside the northside hospital for being the only option to get something to eat . The staff had no clue what to do . The wait time was unbearable .
the worst mcdonalds ever complete chaos the prices are higher than the average and they do not have all of the regular items like lattes or fraps the staff seems to be uninterested in taking or completing your order it is as if they are aware that you are pretty much at their mercy, Staff seems to be uninterested in taking or completing your order . Prices are higher than the average and they do not have all of the regular items like lattes or fraps . Staff seem to be aware that you are pretty much at
a captive audience of transient visitors and exhausted staff are the only way this mcdonalds which is basically the only food option at northside hospital could possibly stay in business,a captive audience of transient visitors and exhausted staff are the only way this mcdonalds which is basically the only food option at northside hospital could possibly stay in business
and still french fry champthe burger taste not sop much but this location fast and friendly,and still french fry champthe burger taste not sop much but this location fast and friendly
beware i saw the manager filling orders for drivethru customers using bare hands  no gloves or utensils to pack fries  and this is the weirdest thing ever she was fingering plastic cup lids do not know what else to call it she poked her finger through the plastic cup lids in the slit made for straws before inserting straws what the hell for imagine a finger no gloves super long nails painted and this being inserted into every cup lid before inserting the straw why did she need to expose customers to her nails and the shit and germs nails looked filthy underneath she was using her nails as a tool the straw can be used to go through the straw slit no need for a finger nail filthy i saw this going on inside while the poor folks in drivethru did not see this and the cashier had a bad cold and was wiping his runny nose all over with the back of his hand what can you expect if the manager herself is filthy and polluting the food who knows where her handa been, The manager was filling orders for drivethru customers using bare hands and no gloves or utensils to pack fries . She poked her finger through the plastic cup lids in the slit made for straws before inserting straws .
worst mc donalds in all of atlanta 1525 min stop every time even if they have no customers straight ridiculous i live across the street and refuse to stop there nope i will never give anyone my money who to a location does not value and appreciate it same manager every time common trend called regional pretended to care either way only thing they will give you is cold food after a 30 min wait a major headache and crappy service skip this stop, Worst mc donalds in all of atlanta 1525 min stop every time even if they have no customers straight ridiculous . Only thing they will give you is cold food after a 30 min wait a major headache and crappy service skip
its good 24hr,its good 24hr
what the freaknik is thisthere are 25 cars in the drive thru at 9am is everybody going to mickey dees todayyou can guess that volumes of business like this means that someones going to get their order wrongand today it was methey put cheese on my steak biscuit but i requested a steak and egg bagel i had to request a straw for my large soda guess i should have checked my sandwich while i looked for the missing strawi expect much better from a mickey dees, 25 cars in the drive thru at 9am is everybody going to mickey dees today . Someones going to get their order wrong .
i have enjoyed a couple eggwhite delights here but not much else i usually really like mcdonalds salads as a quick relatively healthy option on a tight budget but the salads i have had at this particular restaurant has been just kind of gross,i have enjoyed a couple eggwhite delights here but not much else i usually really like mcdonalds salads as a quick relatively healthy option on a tight budget but the salads i have had at this particular restaurant has been just kind of gross
sometimes you just need a mickey ds fix usually for me anyway that sometime is very late at night  er early in the morning depending on how you want to slice it24hour drive thru  check fries still made fresh at all hours  check check a double cheeseburger for a steal 1 and a coke to go with check yep all your drivethru goodybadness waiting for youyum, Check fries still made fresh at all hours . Check check a double cheeseburger for a steal 1 and a coke to go with check yep all your drivethru goodybadness waiting for you .
my order was fresh and prepared correctly they were friendly and moved the drivethru line quickly during the lunch rush very good,my order was fresh and prepared correctly they were friendly and moved the drivethru line quickly during the lunch rush very good
the worst mcdonalds franchise i have visited i fired off complaints to mcdonalds corp thinking they might want something for their file to rid themselves of this lazy franchisee  all i got was a lame apology months later w a coupon for more food it was well after the dinner rush every table was dirty floors so sticky i almost walked outta my shoes surly staff just plain dirty, The worst McDonald's franchise i have visited i fired off complaints to mcdonalds corp thinking they might want something for their file to rid themselves of this lazy franchisee . All i got was a lame apology months later w a coupon for
i have gone to this mcdonalds several times and they have gotten my order completely wrong i go there before work around 730 so i am very hungry and i order a bacon egg and cheese biscuit once i get to work i find what is in my bag is actually an egg mcmuffini absolutely hate thoseso of course it is too late for me to drive back and get my correct order i dont expect this to happen and its a elveru bisy mcdonalds so i dont stop at the srive thru to check my bagi would just like to sayif this happened once in a blue moonthat is fine mistakes happenbut not this many times over it i also notice that while i am giving my order at the drive thruthe person taking it is either never paying attention or rude i wish this would change this mcdonalds seems to be constantly packed with people in the morning because its on a very high traffic road so they need to reevaluate their customer service, i have gone to this mcdonalds several times and they have gotten my order completely wrong i go there before work around 730 so i am very hungry and i order a bacon egg and cheese biscuit once i get to work i
this is the most thisgusting mcdonalds on the planet doubt me go into this nauseating cesspool and find out for yourself i was shocked because it was in a very nice area and has a playground it is by far the nastiest mcdonalds i have ever been into,this is the most thisgusting mcdonalds on the planet doubt me go into this nauseating cesspool and find out for yourself i was shocked because it was in a very nice area and has a playground it is by far the nastiest mcdonalds i have ever been into
i gotta wake my ass up at six am every day of this week and drag myself up to vascalinas yeah i am doing the drywall up there at the new mcdonalds  office space 1999so what a difference a complete overhaul makes this location was recently leveled and rebuilt  and they did a complete 180  and when i say that the building was even rotated by 90 degreesso this is in an area where most of the streets around it are one way so it can be confusing to get in and out of  and the previous drivethru began and ended in different places now they redesigned the place so that it makes more sense and the flow works even better than before  and the previous location was there for 30 years wowthe new one is sleek clean modern and beautiful the drivethru staff was super friendly i was buying a sprite for heavens sake and both the young lady who took my money and the one who handed me my drink said we hope to see you back here again soon that is great service personable and i would be happy to return not that i do mcds very often but i am more apt to come to this one than any other, The new location was recently leveled and rebuilt and rebuilt . The previous location was there for 30 years . The drivethru staff was super friendly .
this is by far the worse mcdonalds i have ever been too my bf wanted their chicken nuggets because it was 199 for 10 pieces we got there and placed an order for 30 pieces it took us 15 minutes to get it and he was charged twice the amount we were told by the cashier that the manager would fix this problem and he never did until we had to ask ourselves overall it took a long time to get our food we received the wrong sauces and it was an overall poor experience i will not return to this location, this is by far the worse mcdonalds i have ever been too my bf wanted their chicken nuggets because it was 199 for 10 pieces we got there and placed an order for 30 pieces it took us 15 minutes to get it
food is what you would expect from mcdonalds but the management and staff could use some coaching in customer service i come to this restaurant frequently in the mornings  the manager always seems to have a surly attitude he acts as though he is doing you a big favor to wait on you and even take your money, Management and staff could use some coaching in customer service . Manager always seems to have a surly attitude . Food is what you would expect from mcdonalds .
went to order a meal via drive through and there was a live roach not waterbug on the window crawling in mid day i showed it to the gentleman that was collecting my payment and he never noticed the roach there i canceled my order immediately and drove away,went to order a meal via drive through and there was a live roach not waterbug on the window crawling in mid day i showed it to the gentleman that was collecting my payment and he never noticed the roach there i canceled my order immediately and drove away
before a morning round of golf i needed a quick breakfast it had to be quick because i needed to make my tee time it had to be big because i needed energy for the course i stopped into this mickey ds and right behind the register i saw big breakfast with hotcakes sounded good to mejust seconds after swiping my credit card i was handed a tray with three hotcakes mcdonalds pancakes scrambled eggs a sausage patty a biscuit and a mcdonalds hash brown oh yeah and two containers each of syrup and butter all this for less than five bucks now that is what i call fast food it is fast and it is cheap this is why america has an obesity problemnearing the end of my meal i started to realize that it was a lot of food i can eat a lot and i could have probably done ok without the extra hash brown or biscuit i was also rushing for three pancakes i only needed one container of syrup i like their butter it is very wispy everything was good and tasted consistent with what youd expect of mcdonalds out of curiosity i went to mcdonalds web site to see how many calories was in this meal 1090, Before a morning round of golf i needed a quick breakfast with big breakfast with hotcakes sounded good to me . This is why america has an obesity problem . 1090 calories was in this meal .
my wife and i have been to this mcdonalds about 10 times since the rebuild there is a whole new staff of people working there in the 10 visits we have yet to get a complete order i went inside the restaurant this evening in hopes of eliminating the issue we had been having i ordered 2 quarter pounders 2 apple pies and 1 hamburger i was given my order to go missing the 2 apple pies and hamburger beware if you go to this mcdonalds and check your order, My wife and i have been to this mcdonalds about 10 times since the rebuild there is a whole new staff of people working there in the 10 visits we have yet to get a complete order . i ordered 2 quarter pounders 2
typical mcdonalds restaurant located at powers ferry and new northside on the north end of the perimeter i have always avoided this location due to the fact that i am not really a fan of mcdonalds in general but the other morning on my way to work i was craving some breakfast and only had time to pull into a drivethru and grab a quick bite to go since mcdonalds is the only place with a drivethru on my way to work i stopped by here to grab their special 2 bacon egg  cheese biscuits for 250 the food was ok just tasted like you would expect mcdonalds food to taste the service was pretty good at the drivethru they were friendly enough but what really gets me is how lazy has america become that the drivethru welcome and what would you like to order has to be automated at mcdonalds, The drivethru is located at powers ferry and new northside on the north end of the perimeter . The food was ok just tasted like you would expect mcdonalds food to taste . The service was pretty good at the driveth
it will make ya fat,it will make ya fat
