summarized_reviews,sentiments
this is one rude mcdonalds the food takes longer to prepare than any other macdonalds i have ever been to the people working there always seem annoyed like you are bothering them just by being there i avoid this mc ds whenever i can,"{'label': 'NEGATIVE', 'score': 0.9995588660240173}"
 The managers at this mcdonalds are awesome but some of the workers are lazy overall . The only thing good about this one is that the management is awesome and its across the street from my house so i can sit around and study till,"{'label': 'NEGATIVE', 'score': 0.9847518801689148}"
 i thought i would try a new mcwrap got a fry and a spicy chick along with that  i was asked to pull up after sitting at the window for a few minutes and they would bring me my order that is fine except about,"{'label': 'POSITIVE', 'score': 0.9973189234733582}"
thisorganized did not even get to order employees were hanging out with friends out front,"{'label': 'NEGATIVE', 'score': 0.9996472597122192}"
 This has got to be one of the busiest mcdonalds in the metro area if not the southeast . The building is open 24 hours now .,"{'label': 'POSITIVE', 'score': 0.9757786393165588}"
 this mcdonalds is horrible they are also down the street from my house . 99 of the time i eat there my meal is always incorrect always it is ridiculous i found out it is an ongoing problem especially at this store . The fries,"{'label': 'NEGATIVE', 'score': 0.9997299313545227}"
 The sausage biscuit i had was subpar the biscuit was overcooked and hard the sausage was not cooked enough only gave me one jelly packet most places give me at least two . forgot to give me a straw for my sweet tea,"{'label': 'NEGATIVE', 'score': 0.999596893787384}"
the ice cream machine is always down after 11 pm if you want a hot fudge sundae do not even bother,"{'label': 'NEGATIVE', 'score': 0.9990424513816833}"
regular mcdonalds close to the highway which can be good and bad,"{'label': 'NEGATIVE', 'score': 0.9921121597290039}"
 Snakes gave me dairy products that had an expired use by sticker and i did not even notice until i was halfway to downtown . There is no point in putting freshness dates on your food if the employees cannot or would not read it,"{'label': 'NEGATIVE', 'score': 0.999038815498352}"
i highly recommend this mcdonaldsif and only if you are trapped at northside hospital are ravenously hungry and have absolutely no other option eating at this mcdonalds is slightly better than eating out of a vending machine or dumpster,"{'label': 'POSITIVE', 'score': 0.9872279167175293}"
 Northside hospital is a toxic dump in food quality and employee humanity in food and employee attitudes . The hospital is responsible for allowing this restaurant to wallow within your walls how many more years will you ignore this restaurant .,"{'label': 'NEGATIVE', 'score': 0.9964404702186584}"
i know i should not need to ask but experience has proven it is a good i idea tonight i forgot to ask them to make sure the coffee was not old and after i drove any i checked and it was not only old it was cold,"{'label': 'NEGATIVE', 'score': 0.9829238057136536}"
 i do not often eat at mcdonalds or ever in fact in fact i have much expectation for healthy foods but the one thing i do expect is decent service and fast food this branch for neither food was really slow to come out .,"{'label': 'NEGATIVE', 'score': 0.9539783000946045}"
little bit more expensive than other mickey dees beggars cannot be choosy slow service and it is packed its open 247365 and the workers are pretty nice did not have many other choices and this filled the need,"{'label': 'POSITIVE', 'score': 0.9936094284057617}"
 this is the mcdonalds inside the northside hospital for being the only option to get something to eat . The staff had no clue what to do . The wait time was unbearable .,"{'label': 'NEGATIVE', 'score': 0.9993808269500732}"
 Staff seems to be uninterested in taking or completing your order . Prices are higher than the average and they do not have all of the regular items like lattes or fraps . Staff seem to be aware that you are pretty much at,"{'label': 'NEGATIVE', 'score': 0.9936137795448303}"
a captive audience of transient visitors and exhausted staff are the only way this mcdonalds which is basically the only food option at northside hospital could possibly stay in business,"{'label': 'NEGATIVE', 'score': 0.9994908571243286}"
and still french fry champthe burger taste not sop much but this location fast and friendly,"{'label': 'POSITIVE', 'score': 0.997492790222168}"
 The manager was filling orders for drivethru customers using bare hands and no gloves or utensils to pack fries . She poked her finger through the plastic cup lids in the slit made for straws before inserting straws .,"{'label': 'NEGATIVE', 'score': 0.9987043142318726}"
 Worst mc donalds in all of atlanta 1525 min stop every time even if they have no customers straight ridiculous . Only thing they will give you is cold food after a 30 min wait a major headache and crappy service skip,"{'label': 'NEGATIVE', 'score': 0.9993151426315308}"
its good 24hr,"{'label': 'POSITIVE', 'score': 0.999764621257782}"
 25 cars in the drive thru at 9am is everybody going to mickey dees today . Someones going to get their order wrong .,"{'label': 'NEGATIVE', 'score': 0.9983021020889282}"
i have enjoyed a couple eggwhite delights here but not much else i usually really like mcdonalds salads as a quick relatively healthy option on a tight budget but the salads i have had at this particular restaurant has been just kind of gross,"{'label': 'NEGATIVE', 'score': 0.9996066689491272}"
 Check fries still made fresh at all hours . Check check a double cheeseburger for a steal 1 and a coke to go with check yep all your drivethru goodybadness waiting for you .,"{'label': 'NEGATIVE', 'score': 0.9742520451545715}"
my order was fresh and prepared correctly they were friendly and moved the drivethru line quickly during the lunch rush very good,"{'label': 'POSITIVE', 'score': 0.9996480941772461}"
 The worst McDonald's franchise i have visited i fired off complaints to mcdonalds corp thinking they might want something for their file to rid themselves of this lazy franchisee . All i got was a lame apology months later w a coupon for,"{'label': 'NEGATIVE', 'score': 0.9997583031654358}"
 i have gone to this mcdonalds several times and they have gotten my order completely wrong i go there before work around 730 so i am very hungry and i order a bacon egg and cheese biscuit once i get to work i,"{'label': 'NEGATIVE', 'score': 0.9991582632064819}"
this is the most thisgusting mcdonalds on the planet doubt me go into this nauseating cesspool and find out for yourself i was shocked because it was in a very nice area and has a playground it is by far the nastiest mcdonalds i have ever been into,"{'label': 'NEGATIVE', 'score': 0.9945052266120911}"
 The new location was recently leveled and rebuilt and rebuilt . The previous location was there for 30 years . The drivethru staff was super friendly .,"{'label': 'POSITIVE', 'score': 0.9963796734809875}"
 this is by far the worse mcdonalds i have ever been too my bf wanted their chicken nuggets because it was 199 for 10 pieces we got there and placed an order for 30 pieces it took us 15 minutes to get it,"{'label': 'NEGATIVE', 'score': 0.9995918869972229}"
 Management and staff could use some coaching in customer service . Manager always seems to have a surly attitude . Food is what you would expect from mcdonalds .,"{'label': 'NEGATIVE', 'score': 0.9674551486968994}"
went to order a meal via drive through and there was a live roach not waterbug on the window crawling in mid day i showed it to the gentleman that was collecting my payment and he never noticed the roach there i canceled my order immediately and drove away,"{'label': 'NEGATIVE', 'score': 0.990190863609314}"
 Before a morning round of golf i needed a quick breakfast with big breakfast with hotcakes sounded good to me . This is why america has an obesity problem . 1090 calories was in this meal .,"{'label': 'NEGATIVE', 'score': 0.9049062728881836}"
 My wife and i have been to this mcdonalds about 10 times since the rebuild there is a whole new staff of people working there in the 10 visits we have yet to get a complete order . i ordered 2 quarter pounders 2,"{'label': 'NEGATIVE', 'score': 0.9937352538108826}"
 The drivethru is located at powers ferry and new northside on the north end of the perimeter . The food was ok just tasted like you would expect mcdonalds food to taste . The service was pretty good at the driveth,"{'label': 'POSITIVE', 'score': 0.9994229078292847}"
it will make ya fat,"{'label': 'NEGATIVE', 'score': 0.9929037690162659}"
 The drivethru took over ten minutes for a spicy mcchicken sandwich . The food was barely warm and the ice in my water was almost completely melted . Service could have been quicker and the food should have been served hotter .,"{'label': 'NEGATIVE', 'score': 0.9994900226593018}"
just sat at drive thru several minutes no one is answering i can see employees walking around and it is 548 am and they should be open i wonder if this franchises owner is aware that he is losing business due to this i bet they do and dont care,"{'label': 'NEGATIVE', 'score': 0.9973790645599365}"
 i placed a special order during rush hour two egg mcmuffins with no bacon with no canadian bacon . By the time i reached the pickup window someone was already walking my order to the window . They even got it just the,"{'label': 'NEGATIVE', 'score': 0.9988473653793335}"
 i purchased a specialty coffee in the drive through but soon after i pulled out and away i realized i had been given a black coffee for the price of 3 mistakes happen so i kept my receipt and went back exactly a week later . The,"{'label': 'NEGATIVE', 'score': 0.9982209801673889}"
the last 20 times we been to this mcdonalds they screw up the order at the drive thru and walk in the guy with the afro do not care i think he is a manager,"{'label': 'NEGATIVE', 'score': 0.9996881484985352}"
 i have generally had good service here but this morning at the drivethru was the pits . i was initially 6 cars back from ordering and it seriously took me about 10 minutes to get my food . i had to repeat it four times,"{'label': 'NEGATIVE', 'score': 0.9978826642036438}"
hot fries i like,"{'label': 'POSITIVE', 'score': 0.9977613687515259}"
the customer service was horrible they seemed angry to work here and they would get upset if you ask for more ketchup or condiments also the kids play area was filthy it had old dirty food on the floor and it was full of lint stay away from this location,"{'label': 'NEGATIVE', 'score': 0.999640703201294}"
 customer service is well below par here i placed my order through the intercom and was told that i would have to pay in separate transactions if i were to use more than 1 coupon . After i left the restaurant i opened my bag to,"{'label': 'NEGATIVE', 'score': 0.9980844259262085}"
food is good but whats with all the flies and nats always in the air i have mentoned this to management before but it seems like nothing has changed  i am going to the mcdonalds on hudson bridge from now on,"{'label': 'NEGATIVE', 'score': 0.9823780655860901}"
fruit flies anyone there is a huge fruit fly infestation here i have been here twice in 3 months and the problem still exists,"{'label': 'NEGATIVE', 'score': 0.9974658489227295}"
best mcdonalds ice cream is here,"{'label': 'POSITIVE', 'score': 0.9969797134399414}"
 this is a busy mcdonalds at all times even late at night the drive thru seems to be where they are doing most of their business . Customer service has been great as they always take care of mewhen i go to mc,"{'label': 'POSITIVE', 'score': 0.9979262351989746}"
 i would honestly not normally take the time to review a mcdonalds location since i am only really a fan of their breakfast but this place has some serious issues . Apparently the difference between sausage and egg and sausage egg and cheese is not,"{'label': 'NEGATIVE', 'score': 0.998101532459259}"
came here for a quick to go lunch first my cheeseburgers were not right i had requested no onions and they were covered with them then second the fries were so mushy and not fresh i was sorely thisappointed,"{'label': 'NEGATIVE', 'score': 0.9993252754211426}"
 The first time i went here they smothered my burger with mustard and ketchup to where it was dripping on me . The past two times i have been here the fries are old and dark and they put like one peice of,"{'label': 'NEGATIVE', 'score': 0.9906722903251648}"
 the worst mcds i have ever been to tried to get a quick snack during our long drive and it was the worst decision . The dual lane drive through is anything but fast one car in front of me but somehow the other lane was,"{'label': 'NEGATIVE', 'score': 0.9996287822723389}"
 this mcdonalds truly is the worst they are always extremely slow and understaffed . Many of the workers her are rude and obviously dont want to be there . My food comes out decent but they're always out of something everytime,"{'label': 'NEGATIVE', 'score': 0.9994839429855347}"
 The evening manager here is very nice and has a great attitude . She was the only person who actually looked like she was happy to help customers . The drive through was backed up and the manager helped immediately .,"{'label': 'POSITIVE', 'score': 0.9988308548927307}"
good job guys love the friendly staff dt hoppingnot sure what they are experiencing but one of the bet mcd in area so much better than before love the christian music guys,"{'label': 'POSITIVE', 'score': 0.9961209893226624}"
 The worst drove thru ever i was car 7 sitting in a dual drive thru for 8 minutes and not 1 car had moved i park and go inside the manager waits on me and i said that the drive thru has not moved she says ,"{'label': 'NEGATIVE', 'score': 0.9997487664222717}"
 i am not ashamed to admit that i frequent this mcdonalds at least twice a week need a snack after pumping gas need coffee before chocolatte is open . i like that the workers seem to have a good camarader,"{'label': 'POSITIVE', 'score': 0.998557984828949}"
 The fish sandwich was edible in a square processed fish round bun too much tartar sauce sort of way . The french fries were horrible they were not edible they were stale and greasy .,"{'label': 'NEGATIVE', 'score': 0.998921275138855}"
 The staff is really nice but kind of slow at this location i asked what type of sauce they had and the cashier looked at me like she saw a ghost i am not that pale all i wanted well not really were some chicken n,"{'label': 'NEGATIVE', 'score': 0.9753681421279907}"
 Staff is unfriendly and obviously so bored with their job definitely not even place for a quick meal .,"{'label': 'NEGATIVE', 'score': 0.9998019337654114}"
 The service at this mcdonalds is so bad it is almost comical case in point . The woman just stood there and looked at us when we told her and my bf was like but i guess i can eat this later .,"{'label': 'NEGATIVE', 'score': 0.9996597766876221}"
 i am hooked on the mcdonalds oatmeal when i want to grab some breakfast that is yummy healthy and easy to eat while i am driving . i am always met with friendly service at the drivethrough they move pretty quickly and,"{'label': 'POSITIVE', 'score': 0.9992350339889526}"
 Customers were shocked at how slow they were to make simple food . Once waited 30 minutes for a small iced vanilla coffee . One pie had something hard and plastic like in it .,"{'label': 'NEGATIVE', 'score': 0.9987002611160278}"
 very unhappy i ordered a fish combo on october 3rd when the drive through person attempted to hand me my meal she stated it was a qt i do not eat beef and did not order that however i had already paid for my,"{'label': 'NEGATIVE', 'score': 0.999576985836029}"
i have to say this mcdonalds sucks do not get me wrong i love mcdonalds but this particular location has some of the worst employees in fast food,"{'label': 'NEGATIVE', 'score': 0.9995474219322205}"
never thought i would write a review about mcdonalds however i went through there very early in the am and just like their commercial said they were all smiles it was nice to see some cheerfulness so earlyplus the sausage egg mcgriddles rock,"{'label': 'POSITIVE', 'score': 0.9969279170036316}"
this location has the new strawberry creme pies the healthscore is a 93 as of 32612the drive thru cashier was really nice but my fries were far too crispy too be any good,"{'label': 'NEGATIVE', 'score': 0.9980490207672119}"
 Drive to one on 78 it is much better than the new one . The new one has issues . i go the long way to work just to stop there .,"{'label': 'NEGATIVE', 'score': 0.7395952939987183}"
 i used to stop at this mcdonalds now and then on my way to work for breakfast my main problem is that the drive thru seems to be slow at this one . One day some yahoo working the drivethru charged me,"{'label': 'NEGATIVE', 'score': 0.9995591044425964}"
 i do not go here often because the service is so bad i have never left with the right order or sat in line less than 15 mins they are now running a special where they give you a 1 min timer  if you do not,"{'label': 'NEGATIVE', 'score': 0.9982119798660278}"
dirty  dirty  dirty the resturant was so dirty that there was no clean table available this is a fairly new location so i am not sure why it is not being better maintained  hope somebody helps the staff at this location get it together,"{'label': 'NEGATIVE', 'score': 0.9995338916778564}"
brand new and sparkling clean with a very modern feel not sure how long the lime green walls will last they are bright service was decent and the food was ok it is still mcdonalds but they seem to be trying to carry more healthy alternatives,"{'label': 'POSITIVE', 'score': 0.9865708947181702}"
getting little miss some ice cream since she had a great day at school she loves the sundae with mms staff was super sweet and efficient which is surprising for this particular location maybe management finally took everyones complaints seriously,"{'label': 'POSITIVE', 'score': 0.9996458292007446}"
 There is always a line of 10 cars at the drive thru window it is no faster if you go in and order actually it was longer ordering inside instead of drive thru ughhhhh .,"{'label': 'NEGATIVE', 'score': 0.9986981153488159}"
this is the slowest mcdonalds i have ever been too it tools between 510 minutes to get your food inside and at least 5 minutes for drive through ever since they have opened they have always been slow,"{'label': 'NEGATIVE', 'score': 0.9995611310005188}"
 The service is also frequently unfriendly or thistracted and almost always painfully slow . i would rather skip it and go somewhere that can get my order right and do it with a smile .,"{'label': 'NEGATIVE', 'score': 0.9992244243621826}"
well i guess the saying is trueyou get what you pay for they forgot to put cheese on my breakfast sandwichthough its frustratingthis is mcdonaldsno one should ever expect more out of them at least my caramel mocha was good,"{'label': 'NEGATIVE', 'score': 0.9882558584213257}"
ice cream machine is always down staff is rude and ghetto food is always old hate this mcdonalds i always try to avoid it and go to a different one,"{'label': 'NEGATIVE', 'score': 0.9995189905166626}"
 The staff could be a bit more friendly and better trained the girl had trouble finding my drink on the cash register . The food came out quickly and was correct these days that is saying a lot .,"{'label': 'POSITIVE', 'score': 0.9989174604415894}"
saw roaches while eating told management and they reacted like its nothing new never again will i go to that mcdonald s even though it is close by me,"{'label': 'NEGATIVE', 'score': 0.9880752563476562}"
it is mcdonaldswhat more can i say they have not pissed me off nor done anything to wow me yet so 3 stars will suffice,"{'label': 'NEGATIVE', 'score': 0.5228959918022156}"
very rude staff the food is typical mcdonalds food bad head for the chickfla across the street,"{'label': 'NEGATIVE', 'score': 0.9997325539588928}"
 this mcdonalds is located right next to the building which houses studio movie grill . It is super convenient to stop by and grab a quick bite before watching a movie if you do not want to spend a lot of money for food at,"{'label': 'NEGATIVE', 'score': 0.9879453182220459}"
 i have only been to this mcdonalds twice and both times were bad experiences not only does the place smell of dirty rags and cleaner solutions but the service is bad as well . i guess the convenient location is what keeps this place,"{'label': 'NEGATIVE', 'score': 0.9988754391670227}"
 This is clearly a franchise location and theydonotcare this place is a cash cow the staff is totally random have had some decent service .,"{'label': 'NEGATIVE', 'score': 0.9922257661819458}"
this is a busy location we stopped for lunch on a saturday and waited forever to place our order the play area is outside and not for toddlers i wish they had other activities for little guys as my son was to small to go inside the area,"{'label': 'NEGATIVE', 'score': 0.9908273816108704}"
 Three sandwiches missing this time totaling 6 last weeks tally was about the same . The franchises contact number on the receipt goes straight to fax no really see for yourselves 7709987710 diabolical strategy to be sure .,"{'label': 'NEGATIVE', 'score': 0.9995195865631104}"
 Staff are always super nice whether it is 10am or 10pm they do not make you repeat your order 18 times and they get it right . They are generous with the condiments when you ask for them and even when you do not,"{'label': 'POSITIVE', 'score': 0.9996559619903564}"
 Staff at this location can vary from customer service focused to blatant thisregard about anything other than accepting your food order and taking your payment . When i placed my order an the drive thru intercom the order was taken correctly total given thanked,"{'label': 'NEGATIVE', 'score': 0.9812217354774475}"
 of course this is a fast food restaurant so of course there is not much of a spectacular review that i can write but i will express my concerns i work late nights and when i do get off work if there nothing ready in the house,"{'label': 'POSITIVE', 'score': 0.9922917485237122}"
 this mcdonalds has the slowest drivethru service i have ever experienced once or twice weve even gotten out of line and left because it was so bad i really do not know what their problem is it is bad every single,"{'label': 'NEGATIVE', 'score': 0.9997987151145935}"
 no stars is more appropriate every time i come here they screw something up today i ordered a filet light sauce and an unsweet tea . i tried calling them today and after other experiences and they never pick up their phone i usually go,"{'label': 'NEGATIVE', 'score': 0.9981734752655029}"
 Traffic backs up past the entrance to mcdonaldssorather than taking your life in your hands by trying to turn left through three lanes of traffic simply drive 1200 feet pass this mcdonalds and turn left at the traffic light then travel,"{'label': 'NEGATIVE', 'score': 0.9418628215789795}"
 2 sausage egg mcmuffins for 3 for 3 were out of sausage . The drivethru was a hassle to get there and on top of that they ran out of product they were advertising .,"{'label': 'NEGATIVE', 'score': 0.999761164188385}"
in consistent quality late nights the food is bad but during busy hours its good,"{'label': 'POSITIVE', 'score': 0.989595353603363}"
i am not ashamed to admit that i am a fan of fast food but this mcdonalds is always slow and the freshness of the food is hit or miss i also feel like it is one of the few mcds that has not been remodeled to the newer design,"{'label': 'NEGATIVE', 'score': 0.9905197620391846}"
 A bic pen was blended up in a smoothie by the owner of the restaurant . The owner was unapologetic about the incident and defended their food inspection rating .,"{'label': 'NEGATIVE', 'score': 0.9655125737190247}"
 The staff walked back  forth just looking at me like i am crazy and another 10 minutes before i got my food . This location use to be my stop in the mornings when i worked near here but they have fallen way off .,"{'label': 'NEGATIVE', 'score': 0.9991841912269592}"
it is what it is so i am mclovin it,"{'label': 'POSITIVE', 'score': 0.9806600213050842}"
 i live slightly closer to this mcdonalds than the one next to perimeter mall . The location is old and dirty and has a monopoly for fast food in this area . It is actually a testament to how strong the name is this location,"{'label': 'POSITIVE', 'score': 0.9888191819190979}"
they have signs posted telling you that you are only allowed 30 minutes to consume your food and then you must vacate that seems a bit pushy,"{'label': 'NEGATIVE', 'score': 0.999498724937439}"
 Starbucks has never got my order right and never been compelled to fix my order or give me a refund . They do not train staff in guest service and the management is horrible . When i am not near a starbucks i like to,"{'label': 'NEGATIVE', 'score': 0.9773395657539368}"
always come here with no expectations in my food and somehow it exceeds to be lowered when i receive my foodtip always ask for ketchup and ketchup cause they will never throw any in the bagbut it is mcdonalds and all are the same,"{'label': 'NEGATIVE', 'score': 0.9900822043418884}"
 i just ordered food from there an hour ago my fries were all stale and cold they must have been old they forgot to give me my drink . i tried to be nice yesterday and compliment them since it was christmas but i feel like,"{'label': 'NEGATIVE', 'score': 0.9956334233283997}"
they cannot get the orders right i always have to double check my bag before leaving the drive thru they are open late but they have no lights on at night poor service i would rather go to sonics down the street this mc donalds needs improvement bad,"{'label': 'NEGATIVE', 'score': 0.9996405839920044}"
worst mcdonalds ever bad costumer service cold burgers cold fries the manager lady is the biggest b i have meet the people that work there are slow and dumb i think i rather drive out of my way than come here,"{'label': 'NEGATIVE', 'score': 0.9994680285453796}"
went there just to get coffee in the morning and the one thing i need in the morning coffee was apparently out of order,"{'label': 'NEGATIVE', 'score': 0.9994150400161743}"
 i stopped at this mcdonalds because i had about two minutes to grab lunch the only reason i ever eat at a mickey ds is because it is a fast b cheap and predictable you know the food would not be awesome but,"{'label': 'NEGATIVE', 'score': 0.9996894598007202}"
 The worst service ever and i am not a rude person at all i said please and thank you and i absolutely was not greeted whatsoever . Instead of 10 piece chicken nuggets i got 9 what in the fucking fuck fuck fuck that mcdonald,"{'label': 'NEGATIVE', 'score': 0.9995707869529724}"
 Worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co,"{'label': 'NEGATIVE', 'score': 0.9996533393859863}"
 Worst mcdonalds ever they are unable to get an order correct went through the drive through last night got home and no fries in my bag got to the window and the woman running the window was talking about her personal life with a co,"{'label': 'NEGATIVE', 'score': 0.9996533393859863}"
management is very rude here i bring my son every now and then to play and have witnessed on several occasions the manager who is a female was extremley rude i was shocked at her behavior i still go there because its close to my house,"{'label': 'NEGATIVE', 'score': 0.9966679215431213}"
 Worst one i have eve been too i was number 205 and i waited for ever and ever . Manager was giving out the food and saw me standing there forever and she did not ask me what my order was or anything it got up to,"{'label': 'NEGATIVE', 'score': 0.9991258978843689}"
i stopped by for a quick lunch and it took twenty minutes to get my order and was only spoken to in spanish,"{'label': 'NEGATIVE', 'score': 0.9994489550590515}"
 my husband and i got sodas this morning and i cant even describe how awful they tasted . We promptly threw them out and went somewhere else . The panhandlers and drug addicts asking for money both times is ridiculous .,"{'label': 'NEGATIVE', 'score': 0.9996127486228943}"
 Retired couple say they no longer need mcdonalds and have not been in three months . Service has become poor at the location two blocks from their house .,"{'label': 'NEGATIVE', 'score': 0.999650239944458}"
agree worst mcdonalds ever not only did they mess up our order they messed up the order before ours,"{'label': 'NEGATIVE', 'score': 0.999554455280304}"
" ""Worst mcdonalds in vegas bad service consistently and sloppy made food 3 trys and still crap wtf i am sure the hobos panhandling outside could do better"" i just want to know what other mcdonald","{'label': 'NEGATIVE', 'score': 0.9997534155845642}"
horrible service to the extent that i had to come on and write about a mcdonalds lol,"{'label': 'NEGATIVE', 'score': 0.9997534155845642}"
 i went to get some food for my wife and i at 11pm this place is in a hotel so you think they would have staffing nope . There were almost 20 people in line and took over half an hour to get my food,"{'label': 'NEGATIVE', 'score': 0.9988976716995239}"
 This place is really ghetto and there is always a bunch of annoying kids loitering and taking up the available tables . It is ok if you want to grab a soda on a hot day or a snack to munch on while walking,"{'label': 'POSITIVE', 'score': 0.9985439777374268}"
 i was on my way home a little after midnight and i wanted a cold drink this mcdonalds is easy to get to the drive through had three cars in front of me but before long i had my diet coke ordered and i,"{'label': 'NEGATIVE', 'score': 0.996192216873169}"
 ordered at 355am on 921 did not get food until 407am they forgot our order of fries i had to call twice and they hung up on me both times without an update . Third time i called they said they were waiting for,"{'label': 'NEGATIVE', 'score': 0.9994346499443054}"
 by far the worst drive thru experience in the united states my husband  i stopped by for drinks since it was a hot evening during our visit in vegas a tall large african american man was working the drive thru when we ordered,"{'label': 'NEGATIVE', 'score': 0.9997568726539612}"
drive thru sucks here this is the 3rd time they messed up my order and there sooooo freakin slow they have no since of urgency,"{'label': 'NEGATIVE', 'score': 0.9989607334136963}"
 What do you expect it is a mcdonalds you go here for bad coffee and even worse food? Go to a starbuck and spend a few more pennies this is just an average McDonald's .,"{'label': 'NEGATIVE', 'score': 0.9996139407157898}"
